fips,name,state,state_full,twitter,population,twitterYN,twitterNotes,twitter_active_COVID,twitter_active_last60,facebookYN,facebookNotes,notes,district,id,conversation_id,created_at,tweet_date,time,timezone,user_id,twitter_display_name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,filename,total_tweets,tweets_COVID,tweets_last60,mean_likes,mean_retweets,mean_replies,socmed
99901,Tri-County Health Department - Colorado,Colorado,Colorado,tchdhealth,1538085,1,NA,NA,NA,1,NA,NA,Tri-County Health Department - Colorado,14657e14,14657e14,2021-11-30 10:30:12 Eastern Standard Time,11/30/2021,10:30:12,-500,2290292576,Tri-County Health,"Adams County, Arapahoe County, Douglas County","Local businesses - join our upcoming webinar via Zoom to get the latest information about COVID-19 mitigation measures and updates about employee vaccines in the workplace. Register for this webinar happening Tuesday, Dec. 7 at 3 p.m. at  https://t.co/DUYfZRr5nK.  https://t.co/MEKY2a7nN9",en,[],['http://bit.ly/TCHDBusinessWebinar'],['https://pbs.twimg.com/media/FFc6rgXVUAg3T0X.jpg'],4,1,0,[],[],https://twitter.com/TCHDHealth/status/1465704724355637248,FALSE,NA,1,https://pbs.twimg.com/media/FFc6rgXVUAg3T0X.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Adams County_Colorado.csv,66,66,66,3.0303030303030303,1.3484848484848484,5.681818181818182,Both Facebook and Twitter
99902,San Juan Basin Public Health - Colorado,Colorado,Colorado,sjbpublichealth,70760,1,NA,NA,NA,1,NA,NA,San Juan Basin Public Health - Colorado,146571e13,146571e13,2021-11-30 10:54:03 Eastern Standard Time,11/30/2021,10:54:03,-500,702589e12,SJBPublicHealth,"La Plata County, Archuleta County",All Coloradans 18+ should get a COVID vaccine booster dose six months after receiving either Pfizer or Moderna and two months after receiving the J&amp;J vaccine. More information ðŸ‘‰  https://t.co/UHam0METPG,en,[],['http://sjbpublichealth.org/covid-19-vaccine'],[],0,0,1,[],[],https://twitter.com/SJBPublicHealth/status/1465710727809798149,FALSE,NA,0,NA,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Archuleta County_Colorado.csv,100,100,100,0.72,0.66,0.4,Both Facebook and Twitter
99903,Northeast Colorado Health Department,Colorado,Colorado,northeasthealth,72464,1,NA,NA,NA,1,NA,NA,Northeast Colorado Health Department,146576e13,146576e13,2021-11-30 13:55:02 Eastern Standard Time,11/30/2021,13:55:02,-500,47454805,Northeast CO Health,"Yuma County, Logan County, Sedgwick County, Washington County, Morgan County, Phillips County","FREE COVID-19 TESTING IN FORT MORGAN TOMORROW!  Free and open to anyone, regardless of symptoms. Language support available.   9 am â€“ 12:30 pm  Community Hospital Association Building  931 Lincoln Street Fort Morgan, CO   Register here:  https://t.co/4awZweEYfL  https://t.co/H8YLTrsQxY",en,[],['https://www.primarybio.com/l/cdphe'],['https://pbs.twimg.com/media/FFdpkAaXsAE8pQs.jpg'],0,0,0,[],[],https://twitter.com/NortheastHealth/status/1465756272888799235,FALSE,NA,1,https://pbs.twimg.com/media/FFdpkAaXsAE8pQs.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Logan County_Colorado.csv,445,445,445,0.14157303370786517,0.20674157303370783,0,Both Facebook and Twitter
99904,Emerald Coast Health Department - Florida,Florida,Florida,flhealthemerald,573281,1,NA,NA,NA,1,NA,NA,Emerald Coast Health Department - Florida,146433e13,146433e13,2021-11-26 15:41:00 Eastern Standard Time,11/26/2021,15:41:00,-500,753315e12,FL Health Emerald,"Santa Rosa County, Bay County, Okaloosa County",PrEP gives you the freedom to take control of your sexual health and prevent #HIV:  https://t.co/h3fAZuGK1T #StopHIVTogether  https://t.co/rwzd5LjdGL,en,[],['http://cdc.gov/StopHIVTogether/Prevention'],['https://pbs.twimg.com/media/FCFc3xVVcAMc1Dg.jpg'],0,0,0,"['hiv', 'stophivtogether']",[],https://twitter.com/FLHealthEmerald/status/1464333387439636480,FALSE,NA,1,https://pbs.twimg.com/media/FCFc3xVVcAMc1Dg.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Bay County_Florida.csv,38,38,38,0.13157894736842105,0.10526315789473684,0,Both Facebook and Twitter
99905,Southeast Health District - Georgia,Georgia,Georgia,sehdph,375570,1,NA,NA,NA,1,NA,NA,Southeast Health District - Georgia,147e16,147e16,2021-11-29 10:01:39 Eastern Standard Time,11/29/2021,10:01:39,-500,313344456,Southeast Health District,"Toombs County, Appling County, Wayne County, Brantley County, Bulloch County, Charlton County, Pierce County, Tattnall County, Jeff Davis County, Evans County, Atkinson County, Clinch County, Coffee County, Ware County, Candler County, Bacon County","Wednesday is World AIDS Day. This years theme is â€œEquitable Access, Everyoneâ€™s Voiceâ€. STD and HIV testing is available across the Southeast Health District. For more information or to find your nearest health department, visit  https://t.co/vga53XsKh0 #WAD2021 #StopHIVTogether  https://t.co/QFnavWJbU3",en,[],['http://ow.ly/VKcI50GTSs0'],['https://pbs.twimg.com/media/FFXqjjJXIAcVyJD.jpg'],0,0,0,"['wad2021', 'stophivtogether']",[],https://twitter.com/sehdph/status/1465335152112975881,FALSE,NA,1,https://pbs.twimg.com/media/FFXqjjJXIAcVyJD.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Appling County_Georgia.csv,424,424,333,0.0330188679245283,0.06839622641509434,0.02358490566037736,Twitter but no Facebook
99906,North Central Health District - Georgia,Georgia,Georgia,nchd52,537518,1,NA,NA,NA,1,NA,NA,North Central Health District - Georgia,14654e14,14654e14,2021-11-29 14:01:08 Eastern Standard Time,11/29/2021,14:01:08,-500,354067553,North Central DPH,"Twiggs County, Wilkinson County, Washington County, Houston County, Baldwin County, Bibb County, Hancock County, Crawford County, Peach County, Putnam County, Monroe County, Jones County, Jasper County",Every voice and every action can help end the HIV epidemic. Take control of your health this World AIDS Day with an HIV self-test!    https://t.co/Z1cuDxijy4   #WAD2021 #StopHIVTogether  https://t.co/sucGec23Dj,en,[],['http://ow.ly/9sHY50GO7ke'],['https://pbs.twimg.com/media/FFYhXiGXMAIEd5o.jpg'],0,0,0,"['wad2021', 'stophivtogether']",[],https://twitter.com/NCHD52/status/1465395418829889545,FALSE,NA,1,https://pbs.twimg.com/media/FFYhXiGXMAIEd5o.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Baldwin County_Georgia.csv,414,414,342,0.3864734299516908,0.15942028985507245,0.06763285024154589,Both Facebook and Twitter
99907,Northeast Health District (Georgia Public Health District 10),Georgia,Georgia,nehealthdept,531229,1,NA,NA,NA,1,NA,NA,Northeast Health District (Georgia Public Health District 10),104872e13,104872e13,2018-10-06 19:30:09 Eastern Daylight Time,10/6/2018,19:30:09,-500,2255483023,Northeast Health,"Oglethorpe County, Elbert County, Jackson County, Greene County, Madison County, Barrow County, Oconee County, Morgan County, Walton County, Clarke County","HOLIDAY CLOSING: All Northeast Health District Health Departments and Offices will be CLOSED on Monday, October 8th in observance of Columbus Day. Regular operating hours resume on Tuesday, October 9th. Have a Safe Holiday!  https://t.co/LURB6dzk1k",en,[],[],['https://pbs.twimg.com/media/Do3Knz1XsAARO-I.jpg'],0,0,0,[],[],https://twitter.com/NEHealthDept/status/1048717075433361410,FALSE,NA,1,https://pbs.twimg.com/media/Do3Knz1XsAARO-I.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Clarke County_Georgia.csv,260,0,0,0.14615384615384616,0.06153846153846154,0.01153846153846153,Twitter but no Facebook
99908,Georgia Coastal Health District,Georgia,Georgia,coastalhealth91,634501,1,NA,NA,NA,0,NA,NA,Georgia Coastal Health District,146577e13,146577e13,2021-11-30 15:01:33 Eastern Standard Time,11/30/2021,15:01:33,-500,550096463,coastalhealth91,"Bryan County, Glynn County, Chatham County, Effingham County, Long County, McIntosh County, Liberty County, Camden County","December 1st, is a time to promote awareness of HIV/AIDS, remember those we've lost to the virus, and reaffirm our commitment to end the HIV epidemic. About 13% of people with HIV in the U.S. donâ€™t know it. #GetTested and if positive for #HIV, get into treatment. #KnowYourStatus  https://t.co/8sV3a47mqw",en,[],[],['https://pbs.twimg.com/media/FFd4yRhWUA4tnU9.jpg'],0,0,0,"['gettested', 'hiv', 'knowyourstatus']",[],https://twitter.com/coastalhealth91/status/1465773012091916305,FALSE,NA,1,https://pbs.twimg.com/media/FFd4yRhWUA4tnU9.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Bryan County_Georgia.csv,225,225,225,1.5822222222222222,1.1733333333333331,0.26666666666666666,Twitter but no Facebook
99909,North Georgia Health Department,Georgia,Georgia,ngahealthdist,500769,1,NA,NA,NA,1,NA,NA,North Georgia Health Department,146541e13,146541e13,2021-11-29 15:14:28 Eastern Standard Time,11/29/2021,15:14:28,-500,354938433,North Georgia Health,"Gilmer County, Murray County, Whitfield County, Pickens County, Fannin County, Cherokee County",Itâ€™s been 30 years since Harold S. â€Scottyâ€ was diagnosed with HIV. The first time he said he had HIV publicly was 27 years ago on World AIDS Day. He continues to be a voice and a face for people impacted by HIV  #WorldAIDSDay2021  https://t.co/AJxDQtPNkd,en,[],[],['https://pbs.twimg.com/media/FFYyJH3XsAEjzLb.png'],0,0,0,['worldaidsday2021'],[],https://twitter.com/NGAHealthDist/status/1465413875772399617,FALSE,NA,1,https://pbs.twimg.com/media/FFYyJH3XsAEjzLb.png,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Cherokee County_Georgia.csv,298,298,298,0.49664429530201343,0.29194630872483224,0.15771812080536912,Both Facebook and Twitter
99910,Public Health District IV - Idaho,Idaho,Idaho,cdhidaho,541704,1,NA,NA,NA,1,NA,NA,Public Health District IV - Idaho,146572e13,146572e13,2021-11-30 11:22:53 Eastern Standard Time,11/30/2021,11:22:53,-500,37749338,Central District Health,"Valley County, Boise County, Elmore County, Ada County","All Idaho adults are now eligible to get their COVID-19 vaccine booster shot! Here are the updated guidelines.  To read the full recommendation from @CDCgov, click here:  https://t.co/yL247Wc9DG.  https://t.co/wHzndi0Xja",en,"[{'screen_name': 'cdcgov', 'name': 'cdc', 'id': '146569971'}]",['http://ow.ly/BJfM50GZNWI'],['https://pbs.twimg.com/media/FFdGvQhWYAotx1N.jpg'],1,0,4,[],[],https://twitter.com/CDHidaho/status/1465717982999498760,FALSE,NA,1,https://pbs.twimg.com/media/FFdGvQhWYAotx1N.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Ada County_Idaho.csv,124,124,124,3.225806451612903,0.967741935483871,0.7983870967741935,Both Facebook and Twitter
