fips,name,state,state_full,twitter,population,twitterYN,twitterNotes,twitter_active_COVID,twitter_active_last60,facebookYN,facebookNotes,notes,district,id,conversation_id,created_at,date,time,timezone,user_id,twitter_display_name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,filename,total_tweets,tweets_COVID,tweets_last60,mean_likes,mean_retweets,mean_replies
1001,Autauga County,Al,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,Baldwin County,AL,Alabama,baldwinema,NA,1,Emergency Management Agency,Yes,Yes,1,Active,NA,NA,146577e13,146577e13,2021-11-30 14:47:57 Eastern Standard Time,11/30/2021,14:47:57,-500,2457581465,Baldwin County Emergency Management Agency,NA,"We had a nice visit with Ashlyn Irons this morning from Fox 10 news! Click the link below to see comments made from Director, Zach Hood on the closing of 2021 Hurricane Season.   https://t.co/hPtYHGrirX  https://t.co/4l1MFwkqa1",en,[],['https://bit.ly/3G2xl60'],['https://pbs.twimg.com/media/FFd1q7KWYAEXjLU.jpg'],0,0,1,[],[],https://twitter.com/BaldwinEMA/status/1465769587815948289,FALSE,NA,1,https://pbs.twimg.com/media/FFd1q7KWYAEXjLU.jpg,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Baldwin County_Alabama.csv,40,40,40,1.025,0.575,0.025
1005,Barbour County,AL,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,Bibb County,AL,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,Blount County,AL,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,Bullock County,AL,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,Butler County,AL,Alabama,butlerco_ema,NA,1,Emergency Management Agency,Yes,No,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,0,1.13,0.47,0.04
1015,Calhoun County,AL,Alabama,bereadycalhoun,NA,1,DoubleCheck,No,No,1,Active,NA,NA,147e16,147e16,2021-11-29 15:07:46 Eastern Standard Time,11/29/2021,15:07:46,-500,211245575,Calhoun County EMA,NA,CANCELED,en,[],[],[],0,1,0,[],[],https://twitter.com/BeReadyCalhoun/status/1465412187032363014,FALSE,NA,0,NA,NA,NA,NA,NA,NA,NA,[],NA,NA,NA,NA,Calhoun County_Alabama.csv,40,40,6,1.775,1.2,0.05
1017,Chambers County,AL,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,Cherokee County,AL,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,Chilton County,AL,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,Choctaw County,AL,Alabama,choctawema,NA,1,DoubleCheck,No,No,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
1025,Clarke County,AL,Alabama,NA,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
