fips,name,state,state_full,twitter,twitterYN,twitterNotes,twitter_active_COVID,twitter_active_last60,facebookYN,facebookNotes,notes,district,user_id,tweet,date,time,link,year,month,day
1001,Autauga County,Al,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,Baldwin County,AL,Alabama,baldwinema,1,Emergency Management Agency,Yes,Yes,1,Active,EmergManage,NA,2457581465,#Hurricane Season Countdown - 6 days remaining.  This important skill will help keep you prepared for all disasters: • Have the skills to assess the situation quickly and to take effective action to protect yourself. Decide to stay or change location.   https://t.co/XfRx379mx0  https://t.co/fwJSiWrLAU,11/24/2021,13:30:17,https://twitter.com/BaldwinEMA/status/1463575715719352321,2021,11,24
1005,Barbour County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,Bibb County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,Blount County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,Bullock County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,Butler County,AL,Alabama,butlerco_ema,1,Emergency Management Agency,Yes,No,1,Active,EmergManage,NA,9.59E+17,https://t.co/zkwiBhHArE,5/31/2020,18:19:21,https://twitter.com/butlerco_ema/status/1267219140114292737,2020,5,31
1015,Calhoun County,AL,Alabama,bereadycalhoun,1,DoubleCheck,No,No,1,Active,EmergManage,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,Chambers County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,Cherokee County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,Chilton County,AL,Alabama,NA,0,NA,NA,NA,1,Active,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,Choctaw County,AL,Alabama,choctawema,1,DoubleCheck,No,No,1,Active,EmergManage,NA,NA,NA,NA,NA,NA,NA,NA,NA
